NFL Team,W,L,T
Arizona CardinalsCardinals,0,1,0
Atlanta FalconsFalcons,0,1,0
Carolina PanthersPanthers,0,1,0
Cincinnati BengalsBengals,0,1,0
Dallas CowboysCowboys,0,1,0
Denver BroncosBroncos,0,1,0
Detroit LionsLions,0,1,0
Green Bay PackersPackers,0,1,0
Houston TexansTexans,0,0,1
Indianapolis ColtsColts,0,0,1
Jacksonville JaguarsJaguars,0,1,0
Las Vegas RaidersRaiders,0,1,0
Los Angeles RamsRams,0,1,0
New England PatriotsPatriots,0,1,0
New York JetsJets,0,1,0
San Francisco 49ers49ers,0,1,0
Tennessee TitansTitans,0,1,0
Baltimore RavensRavens,1,0,0
Buffalo BillsBills,1,0,0
Chicago BearsBears,1,0,0
Cleveland BrownsBrowns,1,0,0
Kansas City ChiefsChiefs,1,0,0
Los Angeles ChargersChargers,1,0,0
Miami DolphinsDolphins,1,0,0
Minnesota VikingsVikings,1,0,0
New Orleans SaintsSaints,1,0,0
New York GiantsGiants,1,0,0
Philadelphia EaglesEagles,1,0,0
Pittsburgh SteelersSteelers,1,0,0
Seattle SeahawksSeahawks,1,0,0
Tampa Bay BuccaneersBuccaneers,1,0,0
Washington CommandersCommanders,1,0,0
